 Date-time, Host, Referer, Cache, Status, Content-Type, User-Agent,Content,Method,Path,Protocol
 [17/May/2023:14:35:30 +0300] , 192.168.2.3 ," ""-"" ", - , 302 , text/html ," ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0""",,GET,/,"HTTP/1.1"""
 [17/May/2023:14:35:30 +0300] , 192.168.2.3 ," ""-"" ", - , 200 , text/html ," ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0""",,GET,/install/index.php,"HTTP/1.1"""
 [17/May/2023:14:35:30 +0300] , 192.168.2.3 ," ""http://opencart.test/install/index.php"" ", - , 200 , image/png ," ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0""",,GET,/install/language/en-gb/en-gb.png,"HTTP/1.1"""
 [17/May/2023:14:35:30 +0300] , 192.168.2.3 ," ""http://opencart.test/install/index.php"" ", - , 200 , image/png ," ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0""",,GET,/install/view/image/logo.png,"HTTP/1.1"""
 [17/May/2023:14:35:30 +0300] , 192.168.2.3 ," ""http://opencart.test/install/index.php"" ", - , 200 , text/css ," ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0""",,GET,/install/view/stylesheet/stylesheet.css,"HTTP/1.1"""
 [17/May/2023:14:35:30 +0300] , 192.168.2.3 ," ""http://opencart.test/install/index.php"" ", - , 200 , text/javascript ," ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0""",,GET,/install/view/javascript/common.js,"HTTP/1.1"""
 [17/May/2023:14:35:30 +0300] , 192.168.2.3 ," ""http://opencart.test/install/index.php"" ", - , 200 , text/javascript ," ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0""",,GET,/install/view/javascript/jquery/jquery-3.6.1.min.js,"HTTP/1.1"""
 [17/May/2023:14:35:30 +0300] , 192.168.2.3 ," ""http://opencart.test/install/index.php"" ", - , 200 , text/css ," ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0""",,GET,/install/view/stylesheet/fontawesome/css/all.css,"HTTP/1.1"""
 [17/May/2023:14:35:30 +0300] , 192.168.2.3 ," ""http://opencart.test/install/index.php"" ", - , 200 , text/css ," ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0""",,GET,/install/view/stylesheet/bootstrap.css,"HTTP/1.1"""
 [17/May/2023:14:35:30 +0300] , 192.168.2.3 ," ""http://opencart.test/install/index.php"" ", - , 200 , text/javascript ," ""Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/110.0""",,GET,/install/view/javascript/bootstrap/js/bootstrap.bundle.js,"HTTP/1.1"""
